ICD9_CODE,SHORT_TITLE,LONG_TITLE,COUNT
42832,Chr diastolic hrt fail,Chronic diastolic heart failure,6
99811,Hemorrhage complic proc,Hemorrhage complicating a procedure,1
4414,Abdom aortic aneurysm,Abdominal aneurysm without mention of rupture,1
45829,Iatrogenc hypotnsion NEC,Other iatrogenic hypotension,3
71615,Traum arthropathy-pelvis,"Traumatic arthropathy, pelvic region and thigh",1
E9352,Adv eff opiates,Other opiates and related narcotics causing adverse effects in therapeutic use,1
78603,Apnea,Apnea,1
725,Polymyalgia rheumatica,Polymyalgia rheumatica,2
42821,Ac systolic hrt failure,Acute systolic heart failure,4
7213,Lumbosacral spondylosis,Lumbosacral spondylosis without myelopathy,1
2721,Pure hyperglyceridemia,Pure hyperglyceridemia,1
73730,Idiopathic scoliosis,"Scoliosis [and kyphoscoliosis], idiopathic",1
V103,Hx of breast malignancy,Personal history of malignant neoplasm of breast,7
00845,Int inf clstrdium dfcile,Intestinal infection due to Clostridium difficile,5
V153,Hx of irradiation,"Personal history of irradiation, presenting hazards to health",2
5180,Pulmonary collapse,Pulmonary collapse,4
V8741,Hx antineoplastic chemo,Personal history of antineoplastic chemotherapy,3
48242,Meth res pneu d/t Staph,Methicillin resistant pneumonia due to Staphylococcus aureus,1
53084,Tracheoesophageal fstula,Tracheoesophageal fistula,1
1629,Mal neo bronch/lung NOS,"Malignant neoplasm of bronchus and lung, unspecified",2
42732,Atrial flutter,Atrial flutter,1
99731,Ventltr assoc pneumonia,Ventilator associated pneumonia,2
53089,Other dsrders esophagus,Other specified disorders of esophagus,1
4011,Benign hypertension,Benign essential hypertension,1
78724,"Dysphagia,pharyngoesoph","Dysphagia, pharyngoesophageal phase",1
79029,Abnormal glucose NEC,Other abnormal glucose,1
49390,Asthma NOS,"Asthma, unspecified type, unspecified",5
41001,"AMI anterolateral, init","Acute myocardial infarction of anterolateral wall, initial episode of care",1
27801,Morbid obesity,Morbid obesity,3
49121,Obs chr bronc w(ac) exac,Obstructive chronic bronchitis with (acute) exacerbation,4
4168,Chr pulmon heart dis NEC,Other chronic pulmonary heart diseases,2
29562,Schizophr dis resid-chr,"Schizophrenic disorders, residual type, chronic",2
70712,Ulcer of calf,Ulcer of calf,1
V433,Heart valve replac NEC,Heart valve replaced by other means,2
53081,Esophageal reflux,Esophageal reflux,13
78820,Retention urine NOS,"Retention of urine, unspecified",1
03849,Gram-neg septicemia NEC,Other septicemia due to gram-negative organisms,3
59970,Hematuria NOS,"Hematuria, unspecified",2
5989,Urethral stricture NOS,"Urethral stricture, unspecified",1
53642,Gastrostomy comp - mech,Mechanical complication of gastrostomy,1
51909,Tracheostomy comp NEC,Other tracheostomy complications,1
E8798,Abn react-procedure NEC,"Other specified procedures as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure",3
43810,Late ef-spch/lng def NOS,"Late effects of cerebrovascular disease, speech and language deficit, unspecified",2
V4984,Bed confinement status,Bed confinement status,1
25062,DMII neuro uncntrld,"Diabetes with neurological manifestations, type II or unspecified type, uncontrolled",1
1120,Thrush,Candidiasis of mouth,1
0417,Pseudomonas infect NOS,Pseudomonas infection in conditions classified elsewhere and of unspecified site,1
70705,"Pressure ulcer, buttock","Pressure ulcer, buttock",2
V1302,Personal history UTI,"Personal history, urinary (tract) infection",3
70724,"Pressure ulcer, stage IV","Pressure ulcer, stage IV",2
V1204,Hx Methicln resist Staph,Personal history of Methicillin resistant Staphylococcus aureus,2
34400,"Quadriplegia, unspecifd","Quadriplegia, unspecified",1
2752,Dis magnesium metabolism,Disorders of magnesium metabolism,1
59960,Urinary obstruction NOS,"Urinary obstruction, unspecified",1
28860,Leukocytosis NOS,"Leukocytosis, unspecified",1
2689,Vitamin D deficiency NOS,Unspecified vitamin D deficiency,1
33829,Chronic pain NEC,Other chronic pain,1
V4986,Do not resusctate status,Do not resuscitate status,1
V4572,Acquire absnce intestine,Acquired absence of intestine (large) (small),1
2762,Acidosis,Acidosis,13
5780,Hematemesis,Hematemesis,1
53019,Other esophagitis,Other esophagitis,1
43889,Late effect CV dis NEC,Other late effects of cerebrovascular disease,2
1890,Malig neopl kidney,"Malignant neoplasm of kidney, except pelvis",1
1966,Mal neo lymph-intrapelv,Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes,1
9982,Accidental op laceration,"Accidental puncture or laceration during a procedure, not elsewhere classified",1
E8700,Acc cut/hem in surgery,"Accidental cut, puncture, perforation or hemorrhage during surgical operation",1
E8120,Mv collision NOS-driver,Other motor vehicle traffic accident involving collision with motor vehicle injuring driver of motor vehicle other than motorcycle,2
E8495,Accid on street/highway,Street and highway accidents,2
8830,Open wound of finger,"Open wound of finger(s), without mention of complication",1
29181,Alcohol withdrawal,Alcohol withdrawal,1
25080,DMII oth nt st uncntrld,"Diabetes with other specified manifestations, type II or unspecified type, not stated as uncontrolled",1
30301,Ac alcohol intox-contin,"Acute alcoholic intoxication in alcoholism, continuous",1
V425,Cornea transplant status,Cornea replaced by transplant,1
25070,DMII circ nt st uncntrld,"Diabetes with peripheral circulatory disorders, type II or unspecified type, not stated as uncontrolled",1
44020,Athscl extrm ntv art NOS,"Atherosclerosis of native arteries of the extremities, unspecified",1
99631,Malfunc urethral cath,Mechanical complication due to urethral (indwelling) catheter,1
E8497,Accid in resident instit,Accidents occurring in residential institution,1
3310,Alzheimer's disease,Alzheimer's disease,2
29410,Dementia w/o behav dist,Dementia in conditions classified elsewhere without behavioral disturbance,2
30000,Anxiety state NOS,"Anxiety state, unspecified",2
8600,Traum pneumothorax-close,Traumatic pneumothorax without mention of open wound into thorax,1
75321,Congen obst urtroplv jnc,Congenital obstruction of ureteropelvic junction,1
27650,Volume depletion NOS,"Volume depletion, unspecified",1
43850,Lt ef oth paral side NOS,"Late effects of cerebrovascular disease, other paralytic syndrome affecting unspecified side",1
V667,Encountr palliative care,Encounter for palliative care,2
3659,Glaucoma NOS,Unspecified glaucoma,3
V4501,Status cardiac pacemaker,Cardiac pacemaker in situ,3
79902,Hypoxemia,Hypoxemia,2
5602,Volvulus of intestine,Volvulus,1
3963,Mitral/aortic val insuff,Mitral valve insufficiency and aortic valve insufficiency,1
4589,Hypotension NOS,"Hypotension, unspecified",2
V1083,Hx-skin malignancy NEC,Personal history of other malignant neoplasm of skin,2
2764,Mixed acid-base bal dis,Mixed acid-base balance disorder,1
4254,Prim cardiomyopathy NEC,Other primary cardiomyopathies,1
3968,Mitr/aortic mult involv,Multiple involvement of mitral and aortic valves,1
37230,Conjunctivitis NOS,"Conjunctivitis, unspecified",1
28521,Anemia in chr kidney dis,Anemia in chronic kidney disease,3
E9308,Adv eff antibiotics NEC,Other specified antibiotics causing adverse effects in therapeutic use,2
60000,BPH w/o urinary obs/LUTS,Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS),2
2511,Oth spcf hypoglycemia,Other specified hypoglycemia,1
8670,Bladder/urethra inj-clos,"Injury to bladder and urethra, without mention of open wound into cavity",1
59971,Gross hematuria,Gross hematuria,1
4149,Chr ischemic hrt dis NOS,"Chronic ischemic heart disease, unspecified",1
V1272,Prsnl hst colonic polyps,Personal history of colonic polyps,2
E9289,Accident NOS,Unspecified accident,1
43411,Crbl emblsm w infrct,Cerebral embolism with cerebral infarction,1
3484,Compression of brain,Compression of brain,1
1510,Mal neo stomach cardia,Malignant neoplasm of cardia,2
04112,MRSA elsewhere/NOS,Methicillin resistant Staphylococcus aureus in conditions classified elsewhere and of unspecified site,2
51189,Effusion NEC exc tb,"Other specified forms of effusion, except tuberculous",1
47831,Vocal paral unilat part,"Unilateral paralysis of vocal cords or larynx, partial",1
5109,Empyema w/o fistula,Empyema without mention of fistula,1
41041,"AMI inferior wall, init","Acute myocardial infarction of other inferior wall, initial episode of care",2
V8801,Acq absnce cervix/uterus,Acquired absence of both cervix and uterus,1
36250,Macular degeneration NOS,"Macular degeneration (senile), unspecified",2
V4571,Acq absnce breast/nipple,Acquired absence of breast and nipple,1
1628,Mal neo bronch/lung NEC,Malignant neoplasm of other parts of bronchus or lung,4
2536,Neurohypophysis dis NEC,Other disorders of neurohypophysis,1
7991,Respiratory arrest,Respiratory arrest,1
72400,Spinal stenosis NOS,"Spinal stenosis, unspecified region",3
71690,Arthropathy NOS-unspec,"Arthropathy, unspecified, site unspecified",1
4549,Asympt varicose veins,Asymptomatic varicose veins,1
81249,Fx lower humerus NEC-cl,Other closed fracture of lower end of humerus,1
4928,Emphysema NEC,Other emphysema,3
40291,Hyp ht dis NOS w ht fail,Unspecified hypertensive heart disease with heart failure,1
2809,Iron defic anemia NOS,"Iron deficiency anemia, unspecified",1
42831,Ac diastolic hrt failure,Acute diastolic heart failure,2
78559,Shock w/o trauma NEC,Other shock without mention of trauma,3
48282,Pneumonia e coli,Pneumonia due to escherichia coli [E. coli],1
34591,Epilepsy NOS w intr epil,"Epilepsy, unspecified, with intractable epilepsy",1
78001,Coma,Coma,1
319,Intellect disability NOS,Unspecified intellectual disabilities,2
490,Bronchitis NOS,"Bronchitis, not specified as acute or chronic",2
04111,Mth sus Stph aur els/NOS,Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site,1
29040,"Vascular dementia,uncomp","Vascular dementia, uncomplicated",1
44031,Ath ext autologs bps gft,Atherosclerosis of autologous vein bypass graft of the extremities,1
56210,Dvrtclo colon w/o hmrhg,Diverticulosis of colon (without mention of hemorrhage),2
5781,Blood in stool,Blood in stool,2
2273,Benign neo pituitary,Benign neoplasm of pituitary gland and craniopharyngeal duct,2
2532,Panhypopituitarism,Panhypopituitarism,1
70706,"Pressure ulcer, ankle","Pressure ulcer, ankle",1
4111,Intermed coronary synd,Intermediate coronary syndrome,1
29281,Drug-induced delirium,Drug-induced delirium,1
E9394,Adv eff benzodiaz tranq,Benzodiazepine-based tranquilizers causing adverse effects in therapeutic use,1
2867,Acq coagul factor defic,Acquired coagulation factor deficiency,1
28959,Spleen disease NEC,Other diseases of spleen,2
99682,Compl liver transplant,Complications of transplanted liver,2
07032,Hpt B chrn wo cm wo dlta,Chronic viral hepatitis B without mention of hepatic coma without mention of hepatitis delta,1
56881,Hemoperitoneum,Hemoperitoneum (nontraumatic),1
5762,Obstruction of bile duct,Obstruction of bile duct,1
42823,Ac on chr syst hrt fail,Acute on chronic systolic heart failure,1
2811,B12 defic anemia NEC,Other vitamin B12 deficiency anemia,1
42833,Ac on chr diast hrt fail,Acute on chronic diastolic heart failure,1
V1581,Hx of past noncompliance,"Personal history of noncompliance with medical treatment, presenting hazards to health",2
49322,Ch obst asth w (ac) exac,Chronic obstructive asthma with (acute) exacerbation,1
340,Multiple sclerosis,Multiple sclerosis,1
37410,Ectropion NOS,"Ectropion, unspecified",1
2989,Psychosis NOS,Unspecified psychosis,1
V5865,Long-term use steroids,Long-term (current) use of steroids,1
85225,Subdural hem-deep coma,"Subdural hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",1
3315,Norml pressure hydroceph,Idiopathic normal pressure hydrocephalus (INPH),1
34570,Epil par cont w/o int ep,"Epilepsia partialis continua, without mention of intractable epilepsy",1
V452,Ventricular shunt status,Presence of cerebrospinal fluid drainage device,1
72989,Muscskel sympt limb NEC,Other musculoskeletal symptoms referable to limbs,1
79094,Euthyroid sick syndrome,Euthyroid sick syndrome,1
78060,Fever NOS,"Fever, unspecified",1
2639,Protein-cal malnutr NOS,Unspecified protein-calorie malnutrition,3
27651,Dehydration,Dehydration,3
80501,Fx c1 vertebra-closed,Closed fracture of first cervical vertebra,1
8052,Fx dorsal vertebra-close,Closed fracture of dorsal [thoracic] vertebra without mention of spinal cord injury,1
20410,Ch lym leuk wo achv rmsn,"Chronic lymphoid leukemia, without mention of having achieved remission",1
80502,Fx c2 vertebra-closed,Closed fracture of second cervical vertebra,1
8911,Open wnd knee/leg-compl,"Open wound of knee, leg [except thigh], and ankle, complicated",1
E8809,Fall on stair/step NEC,Accidental fall on or from other stairs or steps,1
E8490,Accident in home,Home accidents,1
3669,Cataract NOS,Unspecified cataract,1
20510,Ch myl leuk wo achv rmsn,"Chronic myeloid leukemia, without mention of having achieved remission",1
81201,Fx surg nck humerus-clos,Closed fracture of surgical neck of humerus,1
8028,Fx facial bone NEC-close,Closed fracture of other facial bones,1
8024,Fx malar/maxillary-close,Closed fracture of malar and maxillary bones,1
99812,Hematoma complic proc,Hematoma complicating a procedure,2
41511,Iatrogen pulm emb/infarc,Iatrogenic pulmonary embolism and infarction,1
V1259,Hx-circulatory dis NEC,Personal history of other diseases of circulatory system,1
30390,Alcoh dep NEC/NOS-unspec,"Other and unspecified alcohol dependence, unspecified",3
0543,Herpetic encephalitis,Herpetic meningoencephalitis,1
261,Nutritional marasmus,Nutritional marasmus,2
1976,Sec mal neo peritoneum,Secondary malignant neoplasm of retroperitoneum and peritoneum,3
56981,Intestinal fistula,"Fistula of intestine, excluding rectum and anus",1
V1005,Hx of colonic malignancy,Personal history of malignant neoplasm of large intestine,1
51884,Acute & chronc resp fail,Acute and chronic respiratory failure,1
V4611,Respirator depend status,"Dependence on respirator, status",2
03843,Pseudomonas septicemia,Septicemia due to pseudomonas,1
V551,Atten to gastrostomy,Attention to gastrostomy,1
4239,Pericardial disease NOS,Unspecified disease of pericardium,3
70707,"Pressure ulcer, heel","Pressure ulcer, heel",1
5728,"Oth sequela, chr liv dis",Other sequelae of chronic liver disease,1
4739,Chronic sinusitis NOS,Unspecified sinusitis (chronic),1
V550,Atten to tracheostomy,Attention to tracheostomy,1
V5419,Aftrce traum fx bone NEC,Aftercare for healing traumatic fracture of other bone,1
V5411,Aftrcare traum fx up arm,Aftercare for healing traumatic fracture of upper arm,1
E9290,Late eff motor vehic acc,Late effects of motor vehicle accident,1
70721,"Pressure ulcer, stage I","Pressure ulcer, stage I",1
4275,Cardiac arrest,Cardiac arrest,3
1623,Mal neo upper lobe lung,"Malignant neoplasm of upper lobe, bronchus or lung",1
4588,Hypotension NEC,Other specified hypotension,2
28984,Heparin-indu thrombocyto,Heparin-induced thrombocytopenia (HIT),1
43401,Crbl thrmbs w infrct,Cerebral thrombosis with cerebral infarction,1
34290,Unsp hemiplga unspf side,"Hemiplegia, unspecified, affecting unspecified side",1
1570,Mal neo pancreas head,Malignant neoplasm of head of pancreas,1
4531,Thrombophlebitis migrans,Thrombophlebitis migrans,1
